iter	Passed	Remaining
671	1571	767
672	1574	764
673	1578	763
674	1582	761
675	1583	759
676	1586	756
677	1587	753
678	1589	751
679	1591	748
680	1593	746
681	1596	744
682	1598	741
683	1599	738
684	1601	736
685	1603	733
686	1605	731
687	1607	728
688	1608	726
689	1611	723
690	1612	721
691	1615	719
692	1620	717
693	1622	715
694	1624	713
695	1627	710
696	1628	707
697	1632	706
698	1633	703
699	1637	701
700	1641	700
701	1643	697
702	1647	695
703	1648	693
704	1649	690
705	1651	687
706	1652	684
707	1653	681
708	1655	679
709	1657	676
710	1658	674
711	1662	672
712	1664	669
713	1666	667
714	1670	665
715	1671	663
716	1673	660
717	1674	657
718	1675	654
719	1676	652
720	1677	649
721	1680	647
722	1683	644
723	1685	642
724	1688	640
725	1689	637
726	1691	635
727	1693	632
728	1695	630
729	1697	627
730	1701	626
731	1703	623
732	1704	621
733	1706	618
734	1710	616
735	1715	615
736	1719	613
737	1723	611
738	1725	609
739	1728	607
740	1729	604
741	1730	601
742	1732	599
743	1734	596
744	1735	594
745	1737	591
746	1738	588
747	1740	586
748	1742	583
749	1745	581
750	1747	579
751	1750	577
752	1753	575
753	1754	572
754	1758	570
755	1759	567
756	1762	565
757	1763	563
758	1765	560
759	1767	558
760	1769	555
761	1772	553
762	1774	551
763	1775	548
764	1776	545
765	1778	543
766	1780	540
767	1781	538
768	1782	535
769	1784	533
770	1788	531
771	1789	528
772	1793	526
773	1795	524
774	1796	521
775	1797	518
776	1798	516
777	1800	513
778	1801	511
779	1803	508
780	1805	506
781	1808	504
782	1811	501
783	1812	499
784	1815	497
785	1818	495
786	1821	493
787	1823	490
788	1824	487
789	1825	485
790	1826	482
791	1827	479
792	1828	477
793	1829	474
794	1830	472
795	1832	469
796	1835	467
797	1836	464
798	1838	462
799	1839	459
800	1840	457
801	1845	455
802	1847	453
803	1849	450
804	1852	448
805	1853	446
806	1855	443
807	1857	441
808	1861	439
809	1864	437
810	1865	434
811	1866	432
812	1867	429
813	1869	427
814	1871	424
815	1873	422
816	1877	420
817	1880	418
818	1882	416
819	1887	414
820	1888	411
821	1890	409
822	1893	407
823	1895	404
824	1896	402
825	1899	400
826	1900	397
827	1902	395
828	1903	392
829	1904	390
830	1906	387
831	1908	385
832	1910	383
833	1912	380
834	1915	378
835	1917	376
836	1918	373
837	1919	371
838	1921	368
839	1923	366
840	1924	363
841	1925	361
842	1930	359
843	1932	357
844	1933	354
845	1934	352
846	1935	349
847	1936	347
848	1938	344
849	1941	342
850	1943	340
851	1944	337
852	1945	335
853	1947	332
854	1949	330
855	1951	328
856	1955	326
857	1959	324
858	1962	322
859	1963	319
860	1965	317
861	1965	314
862	1966	312
863	1970	310
864	1972	307
865	1974	305
866	1977	303
867	1978	300
868	1979	298
869	1980	296
870	1982	293
